value_tot_resial_building_aud000, sa4_code16, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, sa4_name16, tot_dwl_num, value_non_resial_building_aud000, value_alterations_additions_conversions_resial_building_aud000
1664000.5,121,463,3034460.2,858379.6,2202,350394.1,"Sydney - North Sydney and Hornsby",2695,1370459.8,455226.9
447333.9,122,268,733815.9,86519.3,220,163731.5,"Sydney - Northern Beaches",510,286482.0,197083.1
1001078.8,123,2226,1357017.1,274436.7,899,694366.2,"Sydney - Outer South West",3136,355938.4,32275.9
717679.6,124,1218,1505883.2,280777.9,1029,374390.9,"Sydney - Outer West and Blue Mountains",2266,788203.6,62510.8
1852032.2,125,843,3199242.8,1586102.9,5028,230481.6,"Sydney - Parramatta",5892,1347210.8,35447.6
649364.0,126,309,1040243.6,439736.5,1228,150435.1,"Sydney - Ryde",1547,390879.6,59192.4
1531036.2,127,3430,2754995.2,482097.0,1772,1016429.1,"Sydney - South West",5258,1223959.0,32510.2
847953.3,128,266,943106.2,637988.1,1545,126432.0,"Sydney - Sutherland",1822,95152.9,83533.2
531511.5,201,1508,877501.9,18487.9,97,451104.8,"Ballarat",1610,345990.4,61918.8
436978.3,202,1134,621704.7,17763.0,87,354362.4,"Bendigo",1227,184726.5,64852.8
1627060.2,203,3580,2102740.2,221970.0,730,1224462.4,"Geelong",4317,475680.1,180627.8
525936.8,204,1357,783841.3,16833.1,49,442948.6,"Hume",1414,257904.5,66155.1
904796.1,205,2398,1280178.2,28830.4,132,764699.5,"Latrobe - Gippsland",2547,375382.1,111266.2
