grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, estimates_personal_income_year_ended_30_june_median_investment, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estimates_personal_income_year_ended_30_june_median_employee, sa4_code_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estimates_personal_income_year_ended_30_june_mean_investment, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, sa4_name_2016, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn
30794,57,null,62531,"510",0.428,4102,null,2014,null,76624,null,"Western Australia - Outback (North)",null,3867
32888,219,null,48983,"511",0.457,8938,null,2014,null,60311,null,"Western Australia - Outback (South)",null,2784
22790,285,null,44200,"601",0.439,6975,null,2014,null,50073,null,"Hobart",null,2082
24557,270,null,40000,"602",0.452,7109,null,2014,null,45593,null,"Launceston and North East",null,1906
24993,276,null,36656,"603",0.477,6158,null,2014,null,41738,null,"South East",null,3220
23627,245,null,40083,"604",0.443,5487,null,2014,null,46035,null,"West and North West",null,2141
42608,92,null,56619,"701",0.402,4969,null,2014,null,63295,null,"Darwin",null,3265
31175,90,null,44080,"702",0.416,4187,null,2014,null,50814,null,"Northern Territory - Outback",null,2768
29691,284,null,61370,"801",0.415,5809,null,2014,null,66764,null,"Australian Capital Territory",null,2174
19295,1090,null,67675,"901",0.396,8300,null,2014,null,68084,null,"Other Territories",null,1272
