migration_stream_skilled, migration_stream_family, lga_name, lga_code, migration_stream_humanitarian_a
4,4,"Leonora (S)","55040",0
78,96,"Gosnells (C)","53780",4
4,4,"Halls Creek (S)","53920",0
4,15,"Harvey (S)","53990",0
4,4,"Irwin (S)","54060",0
0,4,"Jerramungup (S)","54130",0
127,110,"Joondalup (C)","54170",4
15,32,"Kalamunda (S)","54200",0
4,4,"Katanning (S)","54340",0
0,4,"Kulin (S)","54760",0
22,51,"Kwinana (T)","54830",0
14,13,"Mosman Park (T)","55740",0
256,26,"Glenorchy (C)","62610",0
480,40,"Hobart (C)","62810",0
8,10,"Huon Valley (M)","63010",0
4,4,"Kentish (M)","63210",0
0,4,"King Island (M)","63410",0
102,30,"Kingborough (M)","63610",0
5,4,"Latrobe (M)","63810",0
195,33,"Launceston (C)","64010",0
6,4,"Meander Valley (M)","64210",0
0,4,"Northern Midlands (M)","64610",0
10,6,"Sorell (M)","64810",0
0,4,"Tasman (M)","65210",0
7,4,"Waratah/Wynyard (M)","65410",0
5,4,"West Coast (M)","65610",0
4,6,"West Tamar (M)","65810",0
0,12,"Northam (S)","56730",0
0,4,"Northampton (S)","56790",0
150,63,"Perth (C)","57080",32
4,22,"Serpentine-Jarrahdale (S)","57700",0
0,4,"Shark Bay (S)","57770",0
72,51,"South Perth (C)","57840",4
86,39,"Palmerston (C)","72800",0
4,4,"Roper Gulf (S)","73600",0
155,58,"Victoria Park (T)","58510",4
4,4,"Victoria Plains (S)","58540",0
0,4,"West Arnhem (S)","74660",0
143,113,"Vincent (T)","58570",0
164,207,"Wanneroo (C)","58760",4
0,4,"Waroona (S)","58820",0
4,0,"Wongan-Ballidu (S)","59310",0
7,5,"Wyndham-East Kimberley (S)","59340",0
4,4,"York (S)","59370",0
9,7,"Break O'Day (M)","60210",0
19,4,"Brighton (M)","60410",0
19,4,"Burnie (C)","60610",0
6,4,"Central Coast (M)","60810",0
19,4,"Circular Head (M)","61210",0
126,26,"Clarence (C)","61410",0
4,4,"Derwent Valley (M)","61510",0
43,13,"Devonport (C)","61610",0
4,4,"Dorset (M)","61810",0
0,4,"Barkly (S)","70420",0
0,4,"Coomalie (S)","70700",0
404,132,"Darwin (C)","71000",0
7,5,"East Arnhem (S)","71300",0
22,8,"Katherine (T)","72200",0
0,8,"Litchfield (M)","72300",0
7,4,"MacDonnell (S)","72330",0
