,Year,SA4 Code,Household Stress - Census Households with rent payments greater than or equal to 30% of household income (%),Rent and Mortgage Payments - Census Average monthly household mortgage payment ($),Rent and Mortgage Payments - Census Average monthly household rental payment ($),Housing Suitability - Occupied private dwellings - Census Dwellings with extra bedrooms needed (no.),Household Stress - Census Households with mortgage repayments greater than or equal to 30% of household income (%),Building Approvals - Year ended 30 June Value of residential building ($m),Building Approvals - Year ended 30 June Private sector dwellings excluding houses (no.),Building Approvals - Year ended 30 June Total private sector dwelling units (no.),Building Approvals - Year ended 30 June Total value of private sector dwelling units ($m),Building Approvals - Year ended 30 June Private sector houses (no.),Building Approvals - Year ended 30 June Total dwelling units (no.),Building Approvals - Year ended 30 June Value of private sector houses ($m),Building Approvals - Year ended 30 June Value of private sector dwellings excluding houses ($m),SA4 Name,Value of New Other Residential Building ($000),Total Dwelling Number,Number of New Houses,Number of New Other Residential Buildings,Value of Total Residential Buildings ($000),Value of Alterations ($000),Value of New Houses ($000),SA4 Name 2011,Average number of Persons per bedroom,Median total family income weekly,Median total household income weekly,Median age of persons,Median total personal income weekly,Average household size,Median rent weekly,Median mortgage repayment monthly,Estimates of Personal Income - Year ended 30 June Total income (excl. Government pensions and allowances) - Gini coefficient,Estimates of Personal Income - Year ended 30 June Mean employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers - Mean ($),Estimates of Personal Income - Year ended 30 June Mean investment income ($),Estimates of Personal Income - Year ended 30 June Median employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers  - Median ($),Estimates of Personal Income - Year ended 30 June Median investment income ($),State and Territory Id,House Median Sales Price,House No of Transactions,Attached dwellings Median Sales Price,Attached dwellings No of Transactions,City
124,2012,207,,,,,,,,,,,,,,Melbourne - Inner East,478814.4,2626.0,817.0,1786.0,1172159.6,246895.6,446449.6,Melbourne - Inner East,,,,,,,,,,,,,,,,2,,,,,Melbourne
125,2012,208,,,,,,,,,,,,,,Melbourne - Inner South,606296.3,2825.0,715.0,2092.0,1174235.1,223005.8,344933.0,Melbourne - Inner South,,,,,,,,,,,,,,,,2,,,,,Melbourne
126,2012,209,,,,,,,,,,,,,,Melbourne - North East,293185.5,4751.0,3239.0,1489.0,1192121.2,112646.4,786289.4,Melbourne - North East,,,,,,,,,,,,,,,,2,,,,,Melbourne
127,2012,210,,,,,,,,,,,,,,Melbourne - North West,204011.9,3413.0,2180.0,1212.0,803171.6,60564.9,538594.8,Melbourne - North West,,,,,,,,,,,,,,,,2,,,,,Melbourne
128,2012,211,,,,,,,,,,,,,,Melbourne - Outer East,204655.4,2201.0,1258.0,921.0,677566.2,123108.5,349802.3,Melbourne - Outer East,,,,,,,,,,,,,,,,2,,,,,Melbourne
129,2012,212,,,,,,,,,,,,,,Melbourne - South East,240490.0,5518.0,4172.0,1320.0,1373365.0,86737.4,1046137.6,Melbourne - South East,,,,,,,,,,,,,,,,2,,,,,Melbourne
192,2013,116,,,,,,,,,,,,,,Sydney - Blacktown,187346.4,2856.0,1647.0,1152.0,598040.9,22574.3,388120.2,Sydney - Blacktown,,,,,,,,,,,,,,,,1,435000.0,4105.0,338000.0,1231.0,Sydney
193,2013,117,,,,,,,,,,,,,,Sydney - City and Inner South,1293193.8,4890.0,92.0,4697.0,1427509.8,108242.2,26073.8,Sydney - City and Inner South,,,,,,,,,,,,,,,,1,860000.0,1593.0,605000.0,6255.0,Sydney
194,2013,118,,,,,,,,,,,,,,Sydney - Eastern Suburbs,388677.9,1508.0,416.0,1024.0,833452.1,208734.3,236040.0,Sydney - Eastern Suburbs,,,,,,,,,,,,,,,,1,1550000.0,1890.0,662000.0,3475.0,Sydney
195,2013,119,,,,,,,,,,,,,,Sydney - Inner South West,1197873.4,5780.0,858.0,4861.0,1537478.4,95545.3,244059.7,Sydney - Inner South West,,,,,,,,,,,,,,,,1,685000.0,4456.0,450000.0,4952.0,Sydney
196,2013,120,,,,,,,,,,,,,,Sydney - Inner West,483372.6,1793.0,134.0,1620.0,666581.6,117481.9,65727.1,Sydney - Inner West,,,,,,,,,,,,,,,,1,1005500.0,2230.0,566500.0,3908.0,Sydney
197,2013,121,,,,,,,,,,,,,,Sydney - North Sydney and Hornsby,1100741.8,4406.0,439.0,3767.0,1670643.1,342252.7,227648.7,Sydney - North Sydney and Hornsby,,,,,,,,,,,,,,,,1,1210000.0,3781.0,635000.0,5057.0,Sydney
199,2013,123,,,,,,,,,,,,,,Sydney - Outer South West,84828.9,2050.0,1613.0,428.0,547722.3,31111.7,431781.7,Sydney - Outer South West,,,,,,,,,,,,,,,,1,400000.0,3406.0,285000.0,664.0,Sydney
203,2013,127,,,,,,,,,,,,,,Sydney - South West,271989.3,3679.0,2376.0,1274.0,897517.8,20720.3,604808.2,Sydney - South West,,,,,,,,,,,,,,,,1,480150.0,3673.0,300000.0,1289.0,Sydney
204,2013,128,,,,,,,,,,,,,,Sydney - Sutherland,110862.2,664.0,353.0,299.0,316482.5,65926.3,139693.9,Sydney - Sutherland,,,,,,,,,,,,,,,,1,771000.0,2010.0,491500.0,2020.0,Sydney
210,2013,206,,,,,,,,,,,,,,Melbourne - Inner,3347206.0,12042.0,628.0,11264.0,4160523.8,526079.5,287238.2,Melbourne - Inner,,,,,,,,,,,,,,,,2,771500.0,5108.0,495000.0,10057.0,Melbourne
211,2013,207,,,,,,,,,,,,,,Melbourne - Inner East,626537.3,3359.0,1039.0,2312.0,1494136.2,242654.8,624944.2,Melbourne - Inner East,,,,,,,,,,,,,,,,2,898000.0,4176.0,530000.0,2457.0,Melbourne
212,2013,208,,,,,,,,,,,,,,Melbourne - Inner South,516769.8,2804.0,827.0,1940.0,1191598.2,257962.0,416866.4,Melbourne - Inner South,,,,,,,,,,,,,,,,2,810000.0,4381.0,500000.0,3618.0,Melbourne
213,2013,209,,,,,,,,,,,,,,Melbourne - North East,277774.9,4635.0,3077.0,1543.0,1178719.0,117043.8,783900.3,Melbourne - North East,,,,,,,,,,,,,,,,2,470000.0,5543.0,385000.0,1666.0,Melbourne
214,2013,210,,,,,,,,,,,,,,Melbourne - North West,238618.9,3703.0,2363.0,1315.0,884330.6,58446.8,587264.9,Melbourne - North West,,,,,,,,,,,,,,,,2,410000.0,4495.0,364750.0,906.0,Melbourne
215,2013,211,,,,,,,,,,,,,,Melbourne - Outer East,282218.4,2861.0,1598.0,1246.0,837137.7,125981.1,428938.2,Melbourne - Outer East,,,,,,,,,,,,,,,,2,480000.0,6819.0,380000.0,2087.0,Melbourne
216,2013,212,,,,,,,,,,,,,,Melbourne - South East,393195.6,6956.0,5073.0,1860.0,1769123.5,97448.8,1278479.0,Melbourne - South East,,,,,,,,,,,,,,,,2,420000.0,9109.0,357500.0,2373.0,Melbourne
280,2014,116,,,,,,606.0,1166.0,2862.0,599.0,1696.0,2876.0,414.0,185.0,Sydney - Blacktown,155104.7,3449.0,2485.0,921.0,815276.5,42152.7,618019.1,Sydney - Blacktown,,,,,,,,,0.385,52960.0,25518.0,1754.0,48804.0,3031.0,153.0,1,510300.0,4663.0,390500.0,1271.0,Sydney
281,2014,117,,,,,,1502.0,4992.0,5096.0,1472.0,104.0,5096.0,98.0,1374.0,Sydney - City and Inner South,1798469.2,6044.0,116.0,5770.0,2000748.9,168627.5,33652.0,Sydney - City and Inner South,,,,,,,,,0.5,61349.0,57504.0,8809.0,47593.0,3016.0,311.0,1,1005000.0,1811.0,660000.0,6759.0,Sydney
282,2014,118,,,,,,838.0,1083.0,1244.0,793.0,161.0,1244.0,385.0,409.0,Sydney - Eastern Suburbs,331931.2,1104.0,192.0,865.0,799482.6,283427.1,184124.3,Sydney - Eastern Suburbs,,,,,,,,,0.588,78521.0,91963.0,27614.0,53827.0,4380.0,988.0,1,1765000.0,2224.0,744000.0,3871.0,Sydney
283,2014,119,,,,,,1567.0,4901.0,5820.0,1545.0,919.0,5881.0,340.0,1205.0,Sydney - Inner South West,1011652.8,4935.0,965.0,3919.0,1389504.0,94914.9,282936.4,Sydney - Inner South West,,,,,,,,,0.446,51520.0,35492.0,5904.0,44005.0,3110.0,449.0,1,805000.0,5311.0,500000.0,5310.0,Sydney
284,2014,120,,,,,,818.0,1876.0,2036.0,800.0,160.0,2037.0,208.0,592.0,Sydney - Inner West,951699.7,3756.0,210.0,3414.0,1226414.8,186744.0,87971.0,Sydney - Inner West,,,,,,,,,0.505,67664.0,52296.0,10892.0,52310.0,3372.0,576.0,1,1220000.0,2592.0,625000.0,4130.0,Sydney
285,2014,121,,,,,,1783.0,3839.0,4322.0,1703.0,483.0,4451.0,589.0,1115.0,Sydney - North Sydney and Hornsby,786274.0,3353.0,487.0,2838.0,1495806.8,421898.2,287634.5,Sydney - North Sydney and Hornsby,,,,,,,,,0.58,87923.0,59355.0,21657.0,58781.0,3573.0,1220.0,1,1410000.0,4543.0,700000.0,5863.0,Sydney
287,2014,123,,,,,,559.0,338.0,1936.0,513.0,1598.0,2090.0,452.0,61.0,Sydney - Outer South West,138607.9,2736.0,2019.0,707.0,729219.9,33605.7,557006.3,Sydney - Outer South West,,,,,,,,,0.398,53610.0,29182.0,3597.0,48223.0,3627.0,167.0,1,455000.0,4173.0,320000.0,855.0,Sydney
291,2014,127,,,,,,957.0,1309.0,3844.0,930.0,2535.0,3931.0,657.0,273.0,Sydney - South West,242058.6,4476.0,3336.0,1107.0,1144999.0,32659.6,870280.7,Sydney - South West,,,,,,,,,0.402,48772.0,43135.0,3877.0,44179.0,6139.0,281.0,1,554000.0,4338.0,350000.0,1778.0,Sydney
